Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,23.104579,-50.098386,90.0,top
C2,100nF,C_0402_1005Metric,30.927779,-54.797386,0.0,top
C3,20pF,C_0402_1005Metric,28.590979,-47.939386,-90.0,top
C4,20pF,C_0402_1005Metric,23.104579,-47.947886,90.0,top
C5,100nF,C_0402_1005Metric,27.168579,-62.290386,-90.0,top
C6,100nF,C_0402_1005Metric,24.120579,-50.098386,90.0,top
C7,1uF,C_0402_1005Metric,23.104579,-61.274386,-90.0,top
C8,100nF,C_0402_1005Metric,20.640779,-59.115386,180.0,top
C9,100nF,C_0402_1005Metric,20.640779,-54.924386,180.0,top
C10,100nF,C_0402_1005Metric,26.152579,-62.290386,-90.0,top
C11,100nF,C_0402_1005Metric,30.546779,-59.877386,-90.0,top
C12,100nF,C_0402_1005Metric,20.640779,-60.131386,180.0,top
C13,1uF,C_0402_1005Metric,22.088579,-61.274386,-90.0,top
C14,1uF,C_0402_1005Metric,20.005779,-65.338386,90.0,top
C15,100nF,C_0402_1005Metric,31.308779,-66.608386,0.0,top
C16,1uF,C_0402_1005Metric,20.005779,-63.306386,90.0,top
D1,B5817,D_SOD-323_HandSoldering,20.386779,-68.56,-90.0,top
F1,"500mA, 6V",Fuse_0805_2012Metric,22.418779,-68.1505,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_TYPE-C-31-M-12,26.162,-81.534,0.0,top
J2,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical,52.1905,-59.502748,180.0,bottom
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,25.842779,-45.526386,-90.0,top
J4,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical,0.1905,-59.496748,180.0,bottom
LD1,BLUE,LED_0603_1608Metric,30.673779,-69.047693,180.0,top
R1,27,R_0402_1005Metric,25.136579,-61.274386,90.0,top
R2,27,R_0402_1005Metric,24.120579,-61.274386,90.0,top
R3,1k,R_0402_1005Metric,24.120579,-47.947886,-90.0,top
R4,1k,R_0402_1005Metric,28.590979,-50.199986,-90.0,top
R5,10k,R_0402_1005Metric,31.562779,-59.877386,-90.0,top
R6,5.1k,R_0402_1005Metric,23.942779,-67.497386,90.0,top
R7,5.1k,R_0402_1005Metric,29.276779,-67.523693,0.0,top
R8,10k,R_0402_1005Metric,20.640779,-52.384386,0.0,top
R9,1k,R_0402_1005Metric,31.312779,-67.626386,0.0,top
SW1,BOOT,SW_SPST_B3U-1000P,30.800779,-49.336386,-90.0,top
SW2,RESET,SW_SPST_B3U-1000P,20.894779,-49.336386,-90.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,25.847779,-56.067386,180.0,top
U2,W25Q64JVXGIQ,XSON-8 (4x4mm),30.114979,-63.687386,-90.0,top
U3,RT9013-33GB,SOT-23-5,22.291779,-64.322386,90.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,26.355779,-49.090886,-90.0,top
